"Indicator type","Indicator","Description"
"domain","bansheeroundness.link",""
"domain","bansheestatue.net",""
"domain","bantervisor.com",""
"domain","baramije.net",""
"domain","barbecueslacked.com",""
"domain","barberstorable.com",""
"domain","bargainservice.online",""
"domain","barricadedreadlock.com",""
"domain","barricadelunchroom.com",""
"domain","bashchivalry.com",""
"domain","basicallyhandrail.net",""
"domain","basilunfailing.com",""
"domain","basketballreviews.org",""
"domain","basketcase.uk",""
"domain","bbc-africa.com",""
"domain","bdaynotes.com",""
"domain","beachplay.in",""
"domain","beaconzero.net",""
"domain","beanbounce.net",""
"domain","bearingglitter.org",""
"domain","beautifulhousesaroundme.com",""
"domain","becomeiguana.com",""
"domain","beethoventopsymphonies.com",""
"domain","behindaquarium.com",""
"domain","bellsnature.net",""
"domain","benjamin-taganga.info",""
"domain","benush.es",""
"domain","bestadventures4u.com",""
"domain","bestcandyever.com",""
"domain","bestday-sales.com",""
"domain","bestfoods.co",""
"domain","bestfriendneedshelp.com",""
"domain","bestgeometry.org",""
"domain","bestgreenblog.org",""
"domain","bestheadphones4u.com",""
"domain","besthotelsaroundme.com",""
"domain","bestperfumesnow.com",""
"domain","bestpresents4all.net",""
"domain","bestsalesaroundme.com",""
"domain","beststores4u.com",""
"domain","bestsushiever.com",""
"domain","better-deal.info",""
"domain","betterapplesearch.com",""
"domain","betterhandsblack.com",""
"domain","bevilud.com",""
"domain","biceptech.org",""
"domain","bicyclerentalnow.com",""
"domain","biggunsarefun.com",""
"domain","bigseatsout.net",""
"domain","billednorth.com",""
"domain","bincoupon.com",""
"domain","birdbathmorning.com",""
"domain","biscuit-taste.net",""
"domain","bit-apk.info",""
"domain","bitanalysis.net",""
"domain","bitfadepens.com",""
"domain","bitforeat.net",""
"domain","biznetforum.eu",""
"domain","bl33pon6373.com",""
"domain","black-bricks.net",""
"domain","blackberry.org.mx",""
"domain","blackwhitebags.com",""
"domain","blastermaster.eu",""
"domain","blendavenue.net",""
"domain","blindlydivision.com",""
"domain","blinkedmoaner.com",""
"domain","blinkingcart.com",""
"domain","blinkingeyes.net",""
"domain","blipric.info",""
"domain","bloatingunsteady.com",""
"domain","blockedsituation.net",""
"domain","blogonion.com",""
"domain","blogreseller.net",""
"domain","bloomersmarbles.com",""
"domain","bluecheckered.com",""
"domain","bluerush.net",""
"domain","bluewaterwaves.net",""
"domain","blurrybaked.net",""
"domain","bnmbuilders.com",""
"domain","boasterunlikable.com",""
"domain","boastingresurrect.com",""
"domain","boatunmatched.com",""
"domain","bobbingsplice.com",""
"domain","boldconclusion.com",""
"domain","boneheadwrought.net",""
"domain","bonyproactive.net",""
"domain","boogeymanhelping.org",""
"domain","boogiemanbotch.net",""
"domain","booking-tables.com",""
"domain","boostvesselcup.org",""
"domain","bootlacewidget.com",""
"domain","borroweronslaught.net",""
"domain","borrowerpursuit.net",""
"domain","botanicalplayhouse.com",""
"domain","bothblooper.com",""
"domain","bottlehere.com",""
"domain","bowlingdown.com",""
"domain","bowlingshoein.com",""
"domain","boxes-mix.net",""
"domain","boxmaster.org",""
"domain","boxpearl.eu",""
"domain","boysrbabies.co",""
"domain","br-hashtags.com",""
"domain","br-travels.com",""
"domain","brand-tech.net",""
"domain","breachresonate.com",""
"domain","breakfastisgood.com",""
"domain","breaking-extranews.online",""
"domain","breaking-news.co",""
"domain","breakingnewsasia.com",""
"domain","breakthenews.net",""
"domain","breechesgem.com",""
"domain","brewingblitz.net",""
"domain","bridgedpipe.link",""
"domain","brightnights.in",""
"domain","brighttooth.net",""
"domain","bringretool.com",""
"domain","broadbandrekindle.com",""
"domain","broadsideriveting.com",""
"domain","broomthigh.net",""
"domain","broomwashday.com",""
"domain","broughtscheming.com",""
"domain","brownandblueeyes.com",""
"domain","brownnosesqueegee.net",""
"domain","browser-update.online",""
"domain","browsingoutsource.com",""
"domain","brutishlyworsening.org",""
"domain","bubblesmoke.net",""
"domain","bubblesweetcake.com",""
"domain","bubbleties.org",""
"domain","buffoonearpiece.net",""
"domain","buffoonunwilling.com",""
